x1 = .01254
x2 = .03254
h  = .00002

X      | Y
.01254 | .999975741
.01256 | .999975622
.01258 | .999975622
.01260 | .999975562
.01262 | .999975443
.01264 | .999975443
.01266 | .999975324
.01268 | .999975204
.01270 | .999975085
.01272 | .999975145
.01274 | .999975026
.01276 | .999974906
.01278 | .999974847
.01280 | .999974787
.01282 | .999974728
.01284 | .999974668
.01286 | .999974549
.01288 | .999974549
.01290 | .999974430
.01292 | .999974310
.01294 | .999974191
.01296 | .999974191
.01298 | .999974132
.01300 | .999974072
.01302 | .999973953
.01304 | .999973834
.01306 | .999973774
.01308 | .999973774
.01310 | .999973714
.01312 | .999973595
.01314 | .999973476
.01316 | .999973416
.01318 | .999973297
.01320 | .999973238
.01322 | .999973238
.01324 | .999973118
.01326 | .999973059
.01328 | .999972939
.01330 | .999972820
.01332 | .999972820
.01334 | .999972701
.01336 | .999972641
.01338 | .999972522
.01340 | .999972403
.01342 | .999972403
.01344 | .999972343
.01346 | .999972284
.01348 | .999972165
.01350 | .999972105
.01352 | .999971986
.01354 | .999971986
.01356 | .999971867
.01358 | .999971807
.01360 | .999971688
.01362 | .999971569
.01364 | .999971569
.01366 | .999971449
.01368 | .999971390
.01370 | .999971271
.01372 | .999971211
.01374 | .999971151
.01376 | .999971092
.01378 | .999970973
.01380 | .999970913
.01382 | .999970794
.01384 | .999970734
.01386 | .999970675
.01388 | .999970555
.01390 | .999970436
.01392 | .999970376
.01394 | .999970257
.01396 | .999970257
.01398 | .999970138
.01400 | .999970078
.01402 | .999970019
.01404 | .999969900
.01406 | .999969900
.01408 | .999969721
.01410 | .999969661
.01412 | .999969542
.01414 | .999969482
.01416 | .999969423
.01418 | .999969363
.01420 | .999969304
.01422 | .999969125
.01424 | .999969065
.01426 | .999969006
.01428 | .999968946
.01430 | .999968886
.01432 | .999968708
.01434 | .999968648
.01436 | .999968588
.01438 | .999968529
.01440 | .999968469
.01442 | .999968290
.01444 | .999968290
.01446 | .999968171
.01448 | .999968112
.01450 | .999967992
.01452 | .999967873
.01454 | .999967873
.01456 | .999967813
.01458 | .999967635
.01460 | .999967575
.01462 | .999967515
.01464 | .999967396
.01466 | .999967337
.01468 | .999967277
.01470 | .999967158
.01472 | .999967098
.01474 | .999967039
.01476 | .999966919
.01478 | .999966800
.01480 | .999966741
.01482 | .999966681
.01484 | .999966562
.01486 | .999966502
.01488 | .999966323
.01490 | .999966323
.01492 | .999966264
.01494 | .999966145
.01496 | .999966025
.01498 | .999965906
.01500 | .999965906
.01502 | .999965847
.01504 | .999965668
.01506 | .999965608
.01508 | .999965549
.01510 | .999965489
.01512 | .999965310
.01514 | .999965250
.01516 | .999965131
.01518 | .999965131
.01520 | .999965012
.01522 | .999964893
.01524 | .999964833
.01526 | .999964774
.01528 | .999964714
.01530 | .999964535
.01532 | .999964476
.01534 | .999964416
.01536 | .999964297
.01538 | .999964237
.01540 | .999964058
.01542 | .999964058
.01544 | .999963939
.01546 | .999963880
.01548 | .999963760
.01550 | .999963701
.01552 | .999963582
.01554 | .999963462
.01556 | .999963403
.01558 | .999963284
.01560 | .999963284
.01562 | .999963164
.01564 | .999963105
.01566 | .999962926
.01568 | .999962866
.01570 | .999962807
.01572 | .999962628
.01574 | .999962568
.01576 | .999962568
.01578 | .999962389
.01580 | .999962330
.01582 | .999962270
.01584 | .999962151
.01586 | .999962091
.01588 | .999961972
.01590 | .999961793
.01592 | .999961793
.01594 | .999961734
.01596 | .999961555
.01598 | .999961495
.01600 | .999961495
.01602 | .999961317
.01604 | .999961257
.01606 | .999961138
.01608 | .999961078
.01610 | .999961019
.01612 | .999960840
.01614 | .999960840
.01616 | .999960661
.01618 | .999960601
.01620 | .999960542
.01622 | .999960423
.01624 | .999960363
.01626 | .999960184
.01628 | .999960124
.01630 | .999960005
.01632 | .999959946
.01634 | .999959886
.01636 | .999959707
.01638 | .999959707
.01640 | .999959528
.01642 | .999959469
.01644 | .999959350
.01646 | .999959290
.01648 | .999959290
.01650 | .999959111
.01652 | .999959111
.01654 | .999958932
.01656 | .999958873
.01658 | .999958694
.01660 | .999958694
.01662 | .999958515
.01664 | .999958456
.01666 | .999958336
.01668 | .999958277
.01670 | .999958158
.01672 | .999958098
.01674 | .999957979
.01676 | .999957919
.01678 | .999957740
.01680 | .999957740
.01682 | .999957621
.01684 | .999957561
.01686 | .999957383
.01688 | .999957383
.01690 | .999957204
.01692 | .999957144
.01694 | .999957085
.01696 | .999956906
.01698 | .999956846
.01700 | .999956667
.01702 | .999956667
.01704 | .999956548
.01706 | .999956489
